time,YLD_total_supply,YLD_minted_burned,total_loans,active_loans,repaid_loans,defauted_loans,percent_defauted,total_collateral_in_use_USD,total_borrowed_USD,avg_loan_val_USD,avg_interest_rate,avg_loan_duration_days
18 Apr 2021 - 14:35 UTC,624000,0,36,17,17,2,5.56,307402.35,184258.85,7957.15,7.12,22.53
19 Apr 2021 - 10:25 UTC,624000,0,37,18,17,2,5.41,363319.96,210210.97,8497.8,7.05,22.3
20 Apr 2021 - 11:35 UTC,624000,0,37,15,20,2,5.41,332509.82,188585.06,8485.08,7.05,22.3
21 Apr 2021 - 14:16 UTC,624002,2,38,15,20,3,7.89,443477.23,210008.01,9203.38,7.01,22.5
22 Apr 2021 - 14:34 UTC,624002,2,39,16,20,3,7.69,428577.69,218976.36,9184.08,6.98,22.44
24 Apr 2021 - 15:30 UTC,624002,2,43,20,20,3,6.98,437274.26,262595.72,9257.45,7.08,21.79
25 Apr 2021 - 13:41 UTC,624006,6,48,25,20,3,6.25,533968.06,290044.14,8874.79,7.17,21.44
26 Apr 2021 - 08:36 UTC,624006,6,51,28,20,3,5.88,600074.51,311036.62,8786.11,7.15,21.59
30 Apr 2021 - 15:04 UTC,624006,6,64,38,23,3,4.69,735081.37,407663.95,8760.46,6.95,22.48
01 May 2021 - 11:05 UTC,624006,6,71,44,24,3,4.23,811557.3,435130.49,8431.07,6.87,22.85
02 May 2021 - 19:46 UTC,624013,13,76,48,25,3,3.95,820754.51,448448.12,8385.0,6.83,23.07
03 May 2021 - 09:00 UTC,624013,13,76,47,26,3,3.95,868234.87,446767.14,8429.57,6.83,23.07
04 May 2021 - 13:10 UTC,624013,13,78,45,30,3,3.85,878049.69,426166.96,8495.55,6.81,23.28
06 May 2021 - 19:49 UTC,624013,13,84,50,31,3,3.57,1011465.55,468097.85,8528.02,6.75,23.45
07 May 2021 - 09:57 UTC,624013,13,87,50,34,3,3.45,1074042.73,502109.8,8820.56,6.71,23.37
08 May 2021 - 14:18 UTC,624013,13,90,53,34,3,3.33,1135840.09,549937.72,9070.2,6.67,23.29
09 May 2021 - 17:12 UTC,624013,13,90,52,35,3,3.33,1008190.52,524990.88,9110.9,6.67,23.29
10 May 2021 - 15:37 UTC,624013,13,90,51,36,3,3.33,1025584.43,519940.22,9131.66,6.67,23.29
11 May 2021 - 16:02 UTC,624013,13,90,51,36,3,3.33,930838.18,519320.0,9102.36,6.67,23.29
12 May 2021 - 08:24 UTC,624013,13,90,49,38,3,3.33,897073.3,503910.66,9058.64,6.67,23.29
13 May 2021 - 13:55 UTC,624013,13,90,46,41,3,3.33,793331.94,485860.21,9058.11,6.67,23.29
14 May 2021 - 11:27 UTC,624013,13,90,41,44,5,5.56,742608.73,433352.4,9167.58,6.67,23.29
15 May 2021 - 15:10 UTC,624015,15,92,40,47,5,5.43,814212.99,473116.18,9726.56,6.63,23.24
